"","Age","2001_PAF_CI","2001_Nobs","2001_Nexc","2001_Nexc_CI","2010_PAF_CI","2010_Nobs","2010_Nexc","2010_Nexc_CI","2020_PAF_CI","2020_Nobs","2020_Nexc","2020_Nexc_CI"
"1","25–34","17 (14, 20)",2,0,"(0, 0)","23 (19, 26)",0,0,"(0, 0)","27 (24, 30)",0,0,"(0, 0)"
"2","35–44","22 (18, 25)",9,2,"(2, 2)","27 (24, 30)",3,1,"(1, 1)","33 (30, 36)",9,3,"(3, 3)"
"3","45–54","26 (22, 30)",29,8,"(6, 9)","30 (26, 34)",19,6,"(5, 6)","38 (36, 41)",34,13,"(12, 14)"
"4","55–64","30 (26, 34)",44,13,"(11, 15)","34 (30, 37)",52,18,"(16, 19)","40 (37, 43)",91,36,"(34, 39)"
"5","65–74","30 (26, 34)",96,29,"(25, 33)","35 (31, 38)",102,36,"(32, 39)","41 (38, 44)",181,74,"(69, 80)"
"6","75–84","25 (21, 29)",73,18,"(15, 21)","30 (26, 34)",116,35,"(30, 39)","40 (36, 43)",151,60,"(54, 65)"
"7","85+","22 (18, 26)",46,10,"(8, 12)","26 (22, 30)",76,20,"(17, 23)","36 (32, 40)",99,36,"(32, 40)"
"8","Total","27 (22, 31)",299,80,"(67, 92)","32 (27, 35)",368,116,"(101, 127)","39 (36, 43)",565,222,"(204, 241)"
